,Unnamed: 0,ms_subclass,lot_frontage,lot_area,lot_shape,utilities,land_slope,overall_qual,overall_cond,year_built,year_remod/add,mas_vnr_area,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,fence,misc_val,mo_sold,yr_sold,saleprice,ms_zoning_FV,ms_zoning_I (all),ms_zoning_RH,ms_zoning_RL,ms_zoning_RM,street_Pave,alley_Noalley,alley_Pave,land_contour_HLS,land_contour_Low,land_contour_Lvl,lot_config_CulDSac,lot_config_FR2,lot_config_FR3,lot_config_Inside,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_IDOTRR,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,condition_1_Feedr,condition_1_Norm,condition_1_PosA,condition_1_PosN,condition_1_RRAe,condition_1_RRAn,condition_1_RRNe,condition_1_RRNn,condition_2_Norm,condition_2_PosA,condition_2_PosN,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,house_style_1.5Unf,house_style_1Story,house_style_2.5Fin,house_style_2.5Unf,house_style_2Story,house_style_SFoyer,house_style_SLvl,roof_style_Gable,roof_style_Gambrel,roof_style_Hip,roof_style_Mansard,roof_style_Shed,roof_matl_Tar&Grv,roof_matl_WdShake,roof_matl_WdShngl,exterior_1st_AsphShn,exterior_1st_BrkComm,exterior_1st_BrkFace,exterior_1st_CemntBd,exterior_1st_HdBoard,exterior_1st_MetalSd,exterior_1st_Plywood,exterior_1st_Stucco,exterior_1st_VinylSd,exterior_1st_Wd Sdng,exterior_1st_WdShing,exterior_2nd_AsphShn,exterior_2nd_Brk Cmn,exterior_2nd_BrkFace,exterior_2nd_CBlock,exterior_2nd_CmentBd,exterior_2nd_HdBoard,exterior_2nd_ImStucc,exterior_2nd_MetalSd,exterior_2nd_Plywood,exterior_2nd_Stucco,exterior_2nd_VinylSd,exterior_2nd_Wd Sdng,exterior_2nd_Wd Shng,mas_vnr_type_BrkFace,mas_vnr_type_None,mas_vnr_type_Stone,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood,heating_GasW,heating_Grav,central_air_Y,garage_type_Attchd,garage_type_Basment,garage_type_BuiltIn,garage_type_CarPort,garage_type_Detchd,sale_type_CWD,sale_type_Con,sale_type_ConLD,sale_type_ConLI,sale_type_ConLw,sale_type_New,sale_type_Oth,sale_type_WD 
10,10,160,21.0,1680,3.0,3.0,2.0,6,5,1971,1971,232.0,2.0,2.0,2.0,2.0,0.0,4.0,387.0,0.0,0.0,96.0,483.0,2.0,4.0,483,504,0,987,0.0,0.0,1,1,2,1,2.0,4,7.0,0,0.0,1971.0,0.0,1.0,264.0,2.0,2.0,2.0,0,0,0,0,0,0,0.0,0,7,2008,85400,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11,11,20,64.0,7488,2.0,3.0,2.0,7,5,2005,2005,0.0,3.0,2.0,3.0,2.0,2.0,5.0,393.0,0.0,0.0,815.0,1208.0,4.0,4.0,1208,0,0,1208,0.0,0.0,2,0,2,1,3.0,6,7.0,0,0.0,2005.0,1.0,2.0,632.0,2.0,2.0,2.0,105,58,0,0,0,0,0.0,0,2,2006,183600,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
12,12,70,120.0,26400,3.0,3.0,2.0,5,7,1880,2007,0.0,3.0,2.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1288,728,0,2016,0.0,0.0,1,0,4,1,2.0,7,4.0,1,3.0,1900.0,0.0,2.0,576.0,2.0,2.0,1.0,0,0,0,0,0,0,0.0,0,6,2009,131000,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
13,13,160,24.0,2645,3.0,3.0,2.0,8,5,1999,2000,456.0,3.0,2.0,3.0,2.0,0.0,5.0,813.0,0.0,0.0,147.0,960.0,4.0,4.0,962,645,0,1607,1.0,0.0,2,1,3,1,3.0,7,7.0,0,0.0,2000.0,0.0,2.0,480.0,2.0,2.0,2.0,169,0,0,0,0,0,0.0,0,12,2008,200000,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
14,14,20,74.0,9627,3.0,3.0,2.0,7,5,2007,2007,0.0,3.0,2.0,3.0,2.0,2.0,5.0,24.0,0.0,0.0,1327.0,1351.0,4.0,4.0,1361,0,0,1361,0.0,0.0,2,0,3,1,3.0,6,7.0,0,0.0,2007.0,1.0,2.0,610.0,2.0,2.0,2.0,0,50,0,0,0,0,0.0,0,6,2008,193000,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
15,15,20,93.0,10114,3.0,3.0,2.0,5,5,2004,2005,0.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1430.0,1430.0,4.0,4.0,1430,0,0,1430,0.0,0.0,2,0,3,1,3.0,7,7.0,0,0.0,2004.0,1.0,2.0,624.0,2.0,2.0,2.0,0,0,0,0,0,0,0.0,0,3,2010,173500,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
16,16,70,34.0,4571,3.0,3.0,2.0,5,5,1916,1950,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,624.0,624.0,1.0,4.0,624,720,0,1344,0.0,0.0,1,0,4,1,2.0,7,7.0,0,0.0,1916.0,0.0,3.0,513.0,1.0,1.0,2.0,0,0,96,0,0,0,0.0,0,5,2008,98000,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,17,20,80.0,8816,3.0,3.0,2.0,5,6,1963,1963,0.0,2.0,2.0,2.0,2.0,0.0,2.0,651.0,0.0,0.0,470.0,1121.0,2.0,4.0,1121,0,0,1121,1.0,0.0,1,0,3,1,2.0,5,7.0,0,0.0,1963.0,0.0,2.0,480.0,2.0,2.0,2.0,0,80,0,0,0,0,3.0,0,6,2009,139000,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
18,18,20,71.0,8197,3.0,3.0,2.0,6,5,1977,1977,148.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,660.0,660.0,4.0,4.0,1285,0,0,1285,0.0,0.0,1,1,3,1,2.0,7,7.0,1,3.0,1977.0,1.0,2.0,528.0,2.0,2.0,2.0,138,0,0,0,0,0,3.0,0,4,2007,143500,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
19,19,60,72.0,8640,3.0,3.0,2.0,7,5,2009,2009,0.0,2.0,2.0,3.0,2.0,1.0,5.0,24.0,0.0,0.0,732.0,756.0,4.0,4.0,764,783,0,1547,0.0,0.0,2,1,3,1,3.0,7,7.0,0,0.0,2009.0,0.0,2.0,614.0,2.0,2.0,2.0,169,45,0,0,0,0,0.0,0,6,2010,215200,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
20,20,20,109.0,8724,3.0,3.0,2.0,5,5,1968,1968,0.0,2.0,2.0,3.0,2.0,0.0,3.0,492.0,0.0,0.0,402.0,894.0,3.0,4.0,894,0,0,894,0.0,0.0,1,0,3,1,2.0,5,7.0,1,1.0,1968.0,2.0,2.0,450.0,2.0,2.0,2.0,0,0,0,0,0,0,0.0,0,5,2007,129000,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
21,21,120,40.0,5664,2.0,3.0,2.0,8,5,2000,2000,0.0,3.0,2.0,3.0,2.0,0.0,5.0,1158.0,0.0,0.0,343.0,1501.0,4.0,4.0,1659,0,0,1659,1.0,0.0,2,0,2,1,4.0,5,7.0,1,5.0,2000.0,2.0,2.0,499.0,2.0,2.0,2.0,212,59,0,0,0,0,0.0,0,10,2009,278000,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
22,22,60,103.0,12867,2.0,3.0,2.0,8,5,2005,2006,0.0,3.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1209.0,1209.0,4.0,4.0,1209,1044,0,2253,0.0,0.0,2,1,3,1,4.0,8,7.0,1,4.0,2005.0,2.0,2.0,575.0,2.0,2.0,2.0,243,142,0,0,0,0,0.0,0,7,2006,344133,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
23,23,20,68.0,7980,2.0,3.0,2.0,6,7,1992,2007,0.0,2.0,3.0,3.0,2.0,0.0,4.0,935.0,0.0,0.0,233.0,1168.0,4.0,4.0,1187,0,0,1187,1.0,0.0,2,0,3,1,2.0,6,7.0,0,0.0,1992.0,2.0,2.0,420.0,2.0,2.0,2.0,483,21,0,0,0,0,4.0,500,3,2010,185000,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
